Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
Route 66 Motors,14,220250.0,12000.0,147.0,147.0,0,0,0,2,10,1,0,6,4,0,6,6,9,13,17,2,33.5,16,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
TEZAY MOTORS,14,215760.0,15495.0,84.5,122.75,0,1,2,3,7,1,0,5,2,1,5,6,6,9,31,16,65.0,25,8,0.32,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Tay Co Ltd,14,199350.0,9375.0,260.0,260.0,0,0,0,0,14,1,3,5,2,0,9,5,10,12,30,16,106.0,5,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
intimate cars,14,424600.0,14700.0,260.0,260.0,0,0,0,0,14,3,2,3,0,0,11,3,8,11,19,5,15.0,4,1,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
İlkay Motors,14,493000.0,45000.0,135.0,179.25,4,0,0,0,10,1,0,8,1,2,5,6,4,11,21,7,57.0,20,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
AZAR HAZAR MOTORS,13,186750.0,15750.0,30.0,42.0,0,0,0,0,0,0,0,0,12,1,0,0,6,13,44,31,44.0,43,13,0.3023255813953488,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Aksu Cars,13,523000.0,35900.0,104.0,146.0,2,3,1,0,7,6,2,2,1,2,5,2,8,13,51,38,32.0,36,13,0.3611111111111111,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Başaran Automotive,13,204899.0,12500.0,37.0,37.0,0,0,12,0,0,1,2,4,1,9,3,0,8,11,16,2,15.5,16,5,0.3125,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
DAĞSEVER OTO GALERİ,13,381200.0,18900.0,81.0,119.0,1,1,5,0,4,1,2,3,3,4,5,0,7,11,62,49,50.0,51,5,0.09803921568627451,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kıbrıs Auto,13,426750.0,26000.0,18.0,21.0,3,3,1,0,0,3,1,0,4,5,0,0,10,11,15,0,,15,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Nasyonel Motors,13,166996.0,10499.0,57.0,70.0,1,1,3,0,2,4,0,0,6,4,2,0,8,12,35,20,17.0,32,8,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
İncars Auto Trd Ltd,13,184150.0,13000.0,85.0,127.0,1,2,2,1,7,4,3,0,0,3,8,0,5,12,29,16,37.5,24,10,0.4166666666666667,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
AUTO ABİÇ,12,172250.0,13500.0,65.0,111.0,0,0,5,2,4,1,6,1,1,5,5,1,5,9,28,16,32.0,28,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Atensa Motors Ltd,12,206600.0,13250.0,260.0,260.0,0,0,2,1,9,2,4,0,1,2,10,0,5,10,36,23,50.0,21,3,0.14285714285714285,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Demiroğulları Motors,12,157500.0,10250.0,116.0,116.0,0,0,1,1,9,0,2,5,1,2,5,5,11,12,13,0,,13,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KURUÇEŞME OTOMOTİV,12,249000.0,20500.0,147.0,147.0,0,0,0,0,10,1,0,6,3,0,4,6,6,7,12,0,,11,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Karalım Motors,12,363600.0,18875.0,30.0,30.0,1,5,4,0,0,0,2,2,4,4,2,0,8,11,18,6,6.0,17,4,0.23529411764705882,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ÖMF MOTORS LTD.,12,151039.0,9225.0,23.5,117.5,1,5,1,1,2,5,0,0,4,2,3,0,9,12,48,35,48.0,37,12,0.32432432432432434,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Özkırıcı Motors Ltd.,12,249200.0,17250.0,72.5,130.0,3,0,3,2,3,1,1,6,2,4,1,4,7,12,123,108,30.5,97,10,0.10309278350515463,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Freecar Oto Galeri,11,200820.0,14500.0,43.0,47.5,0,4,5,1,1,1,3,3,1,5,3,0,8,11,16,5,13.0,16,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Oto Terminal,11,154800.0,11000.0,112.0,236.0,1,1,1,1,5,0,2,2,3,1,4,2,8,10,33,21,41.0,16,2,0.125,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
